"","Experiment","Condition","Pair","Block","TrialN","Animal","Number","Movement","Description","Participant","ParticipantID","Score","WordOrder","Marked"
"27011","Experiment2","100-33",63,"Training",66,5,2,2,"boingla oinko tid","P1","63P1",NA,"VNP",TRUE
"27012","Experiment2","100-33",63,"Training",66,4,2,1,"wooshla bugo tid","P2","63P2",NA,"VNP",TRUE
"27013","Experiment2","100-33",63,"Training",67,6,2,1,"wooshla fino tid","P1","63P1",NA,"VNP",TRUE
"27014","Experiment2","100-33",63,"Training",67,5,2,1,"wooshla oinko tid","P2","63P2",NA,"VNP",TRUE
"27015","Experiment2","100-33",63,"Training",68,3,1,2,"boingla hoppo pag","P1","63P1",NA,"VNP",TRUE
"27016","Experiment2","100-33",63,"Training",68,6,1,1,"wooshla fino","P2","63P2",NA,"VN",FALSE
"27017","Experiment2","100-33",63,"Training",69,3,1,1,"wooshla hoppo pag","P1","63P1",NA,"VNP",TRUE
"27018","Experiment2","100-33",63,"Training",69,1,1,2,"boingla beeko pag","P2","63P2",NA,"VNP",TRUE
"27019","Experiment2","100-33",63,"Training",70,1,2,1,"wooshla beeko tid","P1","63P1",NA,"VNP",TRUE
"27020","Experiment2","100-33",63,"Training",70,6,1,2,"boingla fino","P2","63P2",NA,"VN",FALSE
"27021","Experiment2","100-33",63,"Training",71,5,1,2,"boingla oinko pag","P1","63P1",NA,"VNP",TRUE
"27022","Experiment2","100-33",63,"Training",71,4,2,2,"boingla bugo tid","P2","63P2",NA,"VNP",TRUE
"27023","Experiment2","100-33",63,"Training",72,2,2,1,"wooshla trunko tid","P1","63P1",NA,"VNP",TRUE
"27024","Experiment2","100-33",63,"Training",72,5,1,2,"boingla oinko","P2","63P2",NA,"VN",FALSE
"27025","Experiment2","100-33",63,"Training",73,5,2,1,"wooshla oinko tid","P1","63P1",NA,"VNP",TRUE
"27026","Experiment2","100-33",63,"Training",73,5,1,2,"boingla oinko","P2","63P2",NA,"VN",FALSE
"27027","Experiment2","100-33",63,"Training",74,2,1,2,"boingla trunko pag","P1","63P1",NA,"VNP",TRUE
"27028","Experiment2","100-33",63,"Training",74,5,1,1,"wooshla oinko pag","P2","63P2",NA,"VNP",TRUE
